"","(Intercept)","Tissuetissue: paired normal adjacent"
"OR5P3",1.122400529186e-288,0.999999999999475
"TRIM40",4.42898084375111e-285,0.745603960932075
"CSN1S2AP",8.9031204812374e-187,0.213644554106849
"WFDC12",6.99896277828721e-81,0.0280729708729536
"CRYGN",1.12415154100729e-85,0.0572026243290597
"STARD6",2.68022627866623e-196,0.0839021622808064
"C11orf40",1.122400529186e-288,0.999999999999475
"C18orf12",1.54849300677105e-175,0.679565788582206
"BCL2L11",7.60035976565125e-115,0.000107849474597455
"DEFB119",1.38576853873292e-288,0.952309125075
"TAC4",7.59732233629208e-83,0.601618991102165
"TIGD1",1.60372646678565e-82,3.48474344778386e-07
"ALKBH5",7.70909117317928e-83,0.6699765750196
"CCDC69",1.02825689369073e-88,6.11329474988945e-14
"NFX1",1.07299422478464e-137,0.0464288421922536
"DSG2",3.19741487591564e-49,0.000726172567706512
"C5orf24",7.19751699983994e-52,0.0513348703895619
"KBTBD6",4.54145105939018e-70,0.0851314839275536
"CDK8",4.94529640588197e-52,0.903790610781859
"PTK6",1.14898195658526e-93,0.00010902483971002
"NKD1",1.93090722030782e-75,0.16545113606326
"STK38",4.01789242921154e-79,0.639356564132166
"THEM4",1.95633069802209e-85,0.00380766055261214
"CLSPN",1.91364949699922e-244,0.240943024250842
"RBAK",5.83851927157654e-44,0.179459447268836
"WDR62",6.20063460907314e-54,0.978540586991009
"SLC39A12",2.67183920530052e-182,0.343162991144659
"RNF168",1.50505900763005e-156,0.936969771328638
"SVEP1",2.45846627407375e-40,0.0292376169338726
"LOC652276",9.6681640590917e-97,0.00891692005939959
"GATA4",1.58760889104843e-267,0.6672671652288
"TC2N",2.94492983732789e-83,0.000322516693880492
"C9orf72",8.68194105179227e-65,1.69496774046707e-09
"KCTD18",6.5486696519315e-154,0.950966914077076
"KLF11",7.16661533501198e-45,0.000747977874328296
"ANKLE1",1.87319952675341e-158,0.122977080880421
"PLXNA3",1.33354765742412e-68,0.161917636411966
"PELO",1.96311356503922e-81,0.0921493749201333
"LACC1",3.03056118164991e-58,0.548957297850573
"TAPT1-AS1",3.50632222519814e-66,0.00302714839857586
"TEX55",7.04608171733063e-240,0.322205532743133
"RANBP3L",1.32028016887103e-109,0.0268324228788276
